,유치원명,대표자,원장,설립일자,설립유형,개원일자,담당행정기관,전화번호,홈페이지,운영시간,주소,제공서비스,3세반학급,4세반학급,5세반학급,3~4세반학급,4~5세반학급,3~5세반학급,특수/장애반학급,3세반학생수,4세반학생수,5세반학생수,3~4세반학생수,4~5세반학생수,3~5세반학생수,특수/장애반학생수,원장수,원감수,수석교사,보직교사,교사,특수교사,보건교사,영양교사,기간제교원,사무직원,수석교사.1,1급정교사,2급정교사,준교사,1년미만,1년이상2년미만,2년이상4년미만,4년이상6년미만,6년이상,평가(인증)년월,lat,lng,구별,총교사수,총학생수,비율
36,규전유치원,전봉옥,전봉옥,1985-03-30,사립(사인),1985-03-30,서울특별시교육청 / 동부교육지원청,02-961-7696,http://cafe.daum.net/gujeon,09 : 00 ~ 15 : 00,서울특별시 동대문구 휘경로 42,['방과후과정'],0,0,0,1,1,0,0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,1,0,0.0,0.0,2.0,0,0,0,0.0,0,0,1,1,1,0,1,1,0,0,2016년 10월,37.5945001,127.06430309999999,동대문구,2.0,23.0,11.5
37,그리새유치원,최석명,박희경,1990-08-29,사립(사인),1996-05-15,서울특별시교육청 / 강동송파교육지원청,02-474-6800-1,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 강동구 천호대로187길 53-18,['방과후과정'],1,1,2,0,0,0,0,20.0,25.0,42.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,6.0,0,0,0,0.0,5,0,0,6,6,4,0,2,0,0,2015년 10월,37.53705739999999,127.14195890000002,강동구,6.0,87.0,14.5
38,그림유치원,김창숙,김창숙,2000-11-30,사립(사인),2001-03-01,서울특별시교육청 / 동부교육지원청,02-3394-6254,http://cafe.naver.com/grimkid,09 : 00 ~ 19 : 00,서울특별시 동대문구 답십리로56길 21,['방과후과정'],2,4,3,0,0,0,0,31.0,60.0,62.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,13.0,0,0,0,9.0,2,0,2,12,12,6,2,3,1,2,2014년 10월,37.569807,127.060092,동대문구,23.0,153.0,6.6521739130434785
39,그림유치원,장세자,장세자,1988-01-25,사립(사인),2005-02-28,서울특별시교육청 / 강동송파교육지원청,02-403-0687,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 송파구 동남로23나길 6,['방과후과정'],2,3,3,0,0,0,0,48.0,59.0,64.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,13.0,0,0,1,0.0,1,0,4,9,9,7,4,0,0,3,2015년 10월,37.50233370000001,127.1329827,송파구,13.0,171.0,13.153846153846153
40,근화유치원,염수정,남대레사,1954-04-05,사립(법인),1954-04-05,서울특별시교육청 / 중부교육지원청,02-2237-1684,http://guenhwa.com,09 : 00 ~ 17 : 20,서울특별시 중구 동호로20길 24,['방과후과정'],1,0,0,0,3,0,0,25.0,0.0,0.0,0.0,70.0,0.0,0.0,1,0,0.0,0.0,7.0,0,0,0,0.0,4,0,1,6,6,1,1,3,1,1,2016년 10월,37.559208700000006,127.009042,중구,7.0,95.0,13.571428571428571
41,근화유치원,한근화,이병옥,1986-06-01,사립(사인),1986-06-01,서울특별시교육청 / 강동송파교육지원청,02-481-1144,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 강동구 고덕로 240,['방과후과정'],0,0,1,1,0,0,0,0.0,0.0,21.0,46.0,0.0,0.0,0.0,1,1,0.0,0.0,4.0,0,0,0,0.0,3,0,0,4,4,0,3,0,1,0,2016년 10월,37.5538859,127.1520017,강동구,4.0,67.0,16.75
43,"금빛유치원
                  
                  	(폐원)",-,-,1986-01-30,사립(사인),1986-01-30,서울특별시교육청 / 성동광진교육지원청,02-457-7740,등록된 홈페이지가 없습니다.,-,서울특별시 광진구 용마산로 107,['방과후과정'],0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,4.0,0,0,0,0.0,0,0,0,4,4,-,-,-,-,-,2011년 07월,37.563149200000005,127.0867201,광진구,4.0,0.0,0.0
44,금성유치원,양혜숙,곽용택,1994-07-23,사립(사인),1994-07-23,서울특별시교육청 / 성북강북교육지원청,02-905-6638,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강북구 한천로123길 9,['방과후과정'],0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1,0,0.0,0.0,2.0,0,0,0,0.0,0,0,0,2,2,1,0,1,0,0,2016년 09월,37.6361617,127.03152859999999,강북구,2.0,38.0,19.0
45,"금잔디유치원
                  
                  	(폐원)",-,-,1968-02-01,사립(사인),1968-03-04,서울특별시교육청 / 성북강북교육지원청,02-914-6684,등록된 홈페이지가 없습니다.,-,서울특별시 성북구 솔샘로4길 20-4,['방과후과정'],0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,6.0,0,0,1,6.0,0,0,0,6,6,-,-,-,-,-,2012년 10월,37.6083261,127.00583780000001,성북구,12.0,0.0,0.0
46,금호유치원,손미숙,손미숙,1991-06-12,사립(법인),1991-06-12,서울특별시교육청 / 성동광진교육지원청,02-2252-3179,http://www.keumhokids.co.kr,09 : 00 ~ 19 : 00,서울특별시 성동구 금호산2길 35,['방과후과정'],1,1,1,0,0,0,0,16.0,12.0,19.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,3.0,0,0,0,0.0,0,0,0,3,3,2,0,1,0,0,2016년 10월,37.548726200000004,127.0235509,성동구,3.0,47.0,15.666666666666666
47,기린유치원,이명숙,이명숙,1985-02-28,사립(사인),1985-03-15,서울특별시교육청 / 강동송파교육지원청,02-418-1750,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 송파구 백제고분로41길 20,['방과후과정'],0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1,0,0.0,0.0,3.0,0,0,0,0.0,0,0,0,3,3,1,1,0,0,1,2016년 11월,37.507726500000004,127.10756950000001,송파구,3.0,30.0,10.0
48,까망유치원,육정희,육정희,1986-02-27,사립(사인),1986-02-27,서울특별시교육청 / 성북강북교육지원청,02-916-9213,https://www.kidsnote.com/까망유치원,09 : 00 ~ 20 : 00,서울특별시 성북구 장월로 102,['방과후과정'],0,0,1,1,0,0,0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,1,0,0.0,0.0,2.0,0,0,0,1.0,1,0,0,2,2,2,0,0,0,0,2016년 09월,37.6148761,127.04851979999998,성북구,3.0,36.0,12.0
49,까치유치원,최희숙,이상진,1989-02-03,사립(사인),1989-02-03,서울특별시교육청 / 북부교육지원청,02-937-0331,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 노원구 덕릉로79길 23,['방과후과정'],3,2,2,0,0,0,0,60.0,50.0,60.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,12.0,0,0,0,5.0,7,0,1,11,11,4,1,4,2,1,2016년 11월,37.6588489,127.07281529999999,노원구,17.0,170.0,10.0
50,꽃동산유치원,김종준,서인숙,2006-02-14,사립(법인),2006-02-14,서울특별시교육청 / 북부교육지원청,02-948-9483,http://www.flowergardenkids.com,09 : 00 ~ 18 : 00,서울특별시 노원구 공릉로 257,['방과후과정'],1,1,1,0,0,0,0,13.0,8.0,7.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,4.0,0,0,0,0.0,0,0,0,4,4,2,0,2,0,0,2013년 11월,37.6301266,127.07418440000001,노원구,4.0,28.0,7.0
51,꿀벌유치원,조윤희,조윤희,1998-03-04,사립(사인),2009-10-13,서울특별시교육청 / 강동송파교육지원청,02-3401-1752,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 30,서울특별시 송파구 양산로8길 8,['방과후과정'],1,1,1,0,0,0,0,14.0,13.0,14.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0,0,0,0.0,0,0,0,5,5,3,1,0,0,1,2017년 10월,37.4908734,127.1445037,송파구,5.0,41.0,8.2
52,꿀벌유치원,한국천주교살레시오회,이혜경,1980-07-01,사립(법인),1994-06-01,서울특별시교육청 / 남부교육지원청,02-857-8545,http://www.honeybees.or.kr,09 : 30 ~ 19 : 00,서울특별시 구로구 디지털로27다길 15,['방과후과정'],2,2,1,0,0,0,0,30.0,42.0,29.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,7.0,0,0,0,0.0,3,0,1,7,7,1,2,3,2,0,2015년 10월,37.4849354,126.8892781,구로구,8.0,101.0,12.625
53,꿈꾸는유치원,임성희,임성희,2016-01-29,사립(사인),2016-03-02,서울특별시교육청 / 성북강북교육지원청,02-981-0101,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강북구 오패산로30길 75,['방과후과정'],2,1,1,0,0,0,0,24.0,11.0,9.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0,0,0,0.0,1,0,0,5,5,4,1,0,0,0,2016년 10월,37.616529,127.0350342,강북구,5.0,44.0,8.8
