,유치원명,대표자,원장,설립일자,설립유형,개원일자,담당행정기관,전화번호,홈페이지,운영시간,주소,제공서비스,3세반학급,4세반학급,5세반학급,3~4세반학급,4~5세반학급,3~5세반학급,특수/장애반학급,3세반학생수,4세반학생수,5세반학생수,3~4세반학생수,4~5세반학생수,3~5세반학생수,특수/장애반학생수,원장수,원감수,수석교사,보직교사,교사,특수교사,보건교사,영양교사,기간제교원,사무직원,수석교사,1급정교사,2급정교사,준교사,1년미만,1년이상2년미만,2년이상4년미만,4년이상6년미만,6년이상,평가(인증)년월,lat,lng
12,"경기유치원
                  
                  	(폐원)",서신덕,이순화,1987-03-03,사립(사인),1987-03-03,서울특별시교육청 / 강남서초교육지원청,02-3411-8881,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강남구 삼성로 14,['방과후과정'],1,1,2,0,0,0,0,23,18,43,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,3,3,0,4,0,0,1,2012년 10월,37.48553709999999,127.0714351
13,경동유치원,김경신,김경신,2000-12-01,사립(사인),2000-12-01,서울특별시교육청 / 성동광진교육지원청,02-2298-2277,http://www.kdchild.com,09 : 00 ~ 18 : 00,서울특별시 성동구 금호로 100,['방과후과정'],2,2,2,0,0,0,0,48,78,58,0,0,0,0,1,1,0,1,13,0,0,0,0,2,0,3,11,11,2,4,5,0,3,2014년 10월,37.5542479,127.0257504
14,경복유치원,김덕옥,경복유치원,1996-04-22,사립(사인),1996-04-22,서울특별시교육청 / 서부교육지원청,02-396-8384,http://www.kyung-bok.co.kr,09 : 00 ~ 20 : 00,서울특별시 서대문구 세검정로1길 95,['방과후과정'],2,2,2,0,0,0,0,40,50,49,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,11,11,7,3,0,1,0,2016년 10월,37.5953053,126.9447195
15,경성유치원,유광열,유광열,1993-05-23,사립(사인),1993-05-23,서울특별시교육청 / 강서양천교육지원청,02-2648-4997,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 양천구 목동로3길 57,['방과후과정'],2,3,3,0,0,0,0,48,57,72,0,0,0,0,1,1,0,0,11,0,0,0,0,1,0,1,10,10,6,0,1,4,0,2016년 10월,37.5104441,126.8640104
16,경원유치원,송미정,김주리,1982-12-27,사립(사인),2002-03-01,서울특별시교육청 / 성동광진교육지원청,02-446-9777,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 광진구 영화사로 89,['방과후과정'],1,1,1,0,0,0,0,23,31,32,0,0,0,0,1,1,0,1,5,0,0,0,0,3,0,0,6,6,2,2,2,0,0,2015년 09월,37.5548568,127.0960782
17,경은유치원,최한형,최희경,1982-12-27,사립(사인),1982-12-27,서울특별시교육청 / 성북강북교육지원청,02-993-2064,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 강북구 노해로21길 12,['방과후과정'],1,2,1,0,0,0,0,7,29,22,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,5,5,2,1,0,0,2,2015년 09월,37.6440376,127.0222502
18,경하유치원,이명희,이명희,1983-03-02,사립(사인),1983-03-02,서울특별시교육청 / 성동광진교육지원청,02-466-2880,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 광진구 동일로72길 9,"['방과후과정', '아침돌봄']",0,0,0,0,0,1,0,0,0,0,0,0,25,0,1,0,0,0,3,0,0,0,3,0,0,1,2,2,2,0,0,1,0,2017년 09월,37.5660474,127.0781984
19,경희유치원,윤경숙,윤경숙,1961-03-24,사립(법인),1961-03-24,서울특별시교육청 / 동부교육지원청,02-967-0907,http://www.khu.kg.kr,09 : 00 ~ 19 : 00,서울특별시 동대문구 경희대로 26,['방과후과정'],2,2,2,0,0,0,0,41,50,56,0,0,0,0,1,1,0,1,3,0,0,0,3,9,0,3,3,3,0,0,1,1,3,2014년 09월,37.5953632,127.0527612
20,계상유치원,송은희,송은희,2002-10-11,사립(법인),2002-10-11,서울특별시교육청 / 강서양천교육지원청,02-2625-5608,http://kyesang.happyihome.com,09 : 00 ~ 20 : 00,서울특별시 양천구 남부순환로86길 22,['방과후과정'],2,3,2,0,0,0,0,39,58,54,0,0,0,0,1,1,0,0,10,0,0,1,2,3,0,5,5,5,5,1,3,1,2,2017년 09월,37.5124317,126.839815
21,계성유치원,천주교쌘뽈수도원유지재단,배선희,1966-12-03,사립(법인),1967-03-09,서울특별시교육청 / 중부교육지원청,02-712-0826,http://www.gskg.kr,08 : 50 ~ 13 : 30,서울특별시 용산구 효창원로15길 15,['해당없음'],0,0,0,0,0,10,0,0,0,0,0,0,238,0,1,1,0,1,15,0,1,1,1,5,0,4,12,12,3,3,5,3,4,2015년 11월,37.5360594,126.9528915
22,고덕유치원,백은희,김진숙,2007-05-07,사립(법인),2007-05-07,서울특별시교육청 / 강동송파교육지원청,02-440-5302,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 강동구 구천면로 645,['방과후과정'],1,2,1,0,0,0,0,21,38,28,0,0,0,0,1,0,0,0,4,0,0,0,2,1,0,2,4,4,1,1,0,0,2,2016년 09월,37.5508311,127.1690836
23,고덕한울유치원,이종영,박문선,2012-04-07,사립(사인),2012-04-09,서울특별시교육청 / 강동송파교육지원청,02-3427-3939,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 강동구 양재대로 1706,['방과후과정'],2,2,1,0,0,0,0,40,42,37,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,9,9,0,3,3,1,2,2016년 11월,37.5578508,127.1459139
24,고운유치원,김은희,김은희,1992-12-03,사립(사인),1992-12-03,서울특별시교육청 / 북부교육지원청,02-948-6700,등록된 홈페이지가 없습니다.,09 : 00 ~ 22 : 00,서울특별시 노원구 동일로208길 34,"['방과후과정', '온종일돌봄']",3,3,3,0,0,0,0,63,51,72,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,5,12,12,9,3,1,1,5,2017년 05월,37.6562713,127.0624069
25,공능유치원,이도형,권명희,1983-10-21,사립(사인),1981-02-23,서울특별시교육청 / 북부교육지원청,02-972-0481,http://kongneungkids.ddorongi.co.kr,09 : 00 ~ 18 : 30,서울특별시 노원구 동일로186길 27,['방과후과정'],1,1,1,0,0,0,0,11,14,16,0,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,4,4,4,0,0,0,0,2016년 10월,37.6251228,127.0740154
26,공항제일유치원,고승현,이민영,1997-05-01,사립(사인),1997-05-01,서울특별시교육청 / 강서양천교육지원청,02-2662-3744,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강서구 개화동로23길 100,['방과후과정'],0,0,0,1,1,0,0,0,0,0,40,40,0,0,1,0,0,0,6,0,0,1,0,2,0,1,5,5,0,0,2,3,2,2016년 10월,37.5651879,126.8106632
27,광남유치원,목원균,김춘자,1991-02-09,사립(사인),1991-02-09,서울특별시교육청 / 성동광진교육지원청,02-455-6774,http://kwangnam.kidswon.com,09 : 00 ~ 19 : 00,서울특별시 광진구 아차산로70길 40,['방과후과정'],2,2,2,0,0,0,0,48,66,65,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,10,10,5,4,0,1,1,2017년 10월,37.5406764,127.098826
28,광영유치원,학교법인 광영학원,손영경,1995-03-02,사립(법인),1995-03-02,서울특별시교육청 / 강서양천교육지원청,02-2603-6235,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 양천구 남부순환로30길 17,['방과후과정'],2,2,1,0,0,0,0,31,37,34,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,1,7,7,1,1,3,2,1,2016년 09월,37.53779,126.8241074
29,광운유치원,김미선,김미선,1967-03-01,사립(법인),1967-03-01,서울특별시교육청 / 성북강북교육지원청,02-915-0903,http://www.kwangwoon.or.kr,09 : 00 ~ 17 : 00,서울특별시 성북구 장월로42길 9,['방과후과정'],1,1,1,0,0,0,0,13,18,23,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,2,2,0,0,0,1,2,2014년 10월,37.6190738,127.0538718
30,광장유치원,홍성란,홍성란,1983-09-01,사립(법인),1983-09-01,서울특별시교육청 / 성동광진교육지원청,02-455-5016,등록된 홈페이지가 없습니다.,09 : 30 ~ 19 : 00,서울특별시 광진구 광장로7길 17,['방과후과정'],1,1,1,0,0,0,0,24,24,29,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,2,3,3,1,0,2,0,2,2015년 11월,37.5483874,127.1052041
31,구강사금강유치원,김영춘,박송란,2007-11-20,사립(법인),2008-03-03,서울특별시교육청 / 강동송파교육지원청,02-471-7792,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 00,서울특별시 강동구 천중로 64,['방과후과정'],2,2,2,0,0,0,0,47,46,47,0,0,0,0,1,0,0,0,9,0,0,1,0,5,0,3,6,6,2,2,3,0,3,2016년 09월,37.5448184,127.1288199
32,구룡유치원,이정근,이경남,1994-03-01,사립(사인),1994-03-01,서울특별시교육청 / 강남서초교육지원청,02-577-1986,http://www.happyguryung.com/,09 : 00 ~ 19 : 00,서울특별시 서초구 논현로5길 31-11,['방과후과정'],1,1,2,0,0,0,0,26,30,55,0,0,0,0,1,0,0,1,5,0,0,1,3,6,0,1,5,5,1,3,1,0,2,2016년 10월,37.4711769,127.0489979
33,국제유치원,김영무,김애영,1990-09-05,사립(사인),1990-09-05,서울특별시교육청 / 강서양천교육지원청,02-3662-7404,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 30,서울특별시 강서구 양천로30길 4,['방과후과정'],2,2,2,0,0,0,0,40,47,43,0,0,0,0,1,0,0,0,9,0,0,0,3,3,0,4,5,5,2,1,1,4,1,2015년 10월,37.5704783,126.8229382
34,굿프랜드유치원,허숙희,정은우,2014-09-05,사립(사인),2015-03-04,서울특별시교육청 / 남부교육지원청,02-847-3490,http://cafe.navet.com.gfkindergarten,09 : 00 ~ 17 : 00,서울특별시 영등포구 대방천로 180,['방과후과정'],2,2,2,0,0,0,0,38,25,50,0,0,0,0,1,0,0,0,10,0,0,1,1,2,0,0,10,10,3,6,2,0,0,2016년 09월,37.4979867,126.9109271
35,궁전유치원,백금옥,백금옥,1997-02-14,사립(사인),1997-02-14,서울특별시교육청 / 서부교육지원청,02-383-1667,http://kj16667.happyihome.com,09 : 00 ~ 17 : 00,서울특별시 은평구 갈현로33길 24,"['방과후과정', '온종일돌봄']",1,1,1,0,0,0,0,10,7,20,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,5,2,0,1,0,2,2015년 10월,37.6220183,126.9141657
36,규전유치원,전봉옥,전봉옥,1985-03-30,사립(사인),1985-03-30,서울특별시교육청 / 동부교육지원청,02-961-7696,http://cafe.daum.net/gujeon,09 : 00 ~ 15 : 00,서울특별시 동대문구 휘경로 42,['방과후과정'],0,0,0,1,1,0,0,0,0,0,9,14,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2016년 10월,37.5945001,127.0643031
37,그리새유치원,최석명,박희경,1990-08-29,사립(사인),1996-05-15,서울특별시교육청 / 강동송파교육지원청,02-474-6800-1,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 강동구 천호대로187길 53-18,['방과후과정'],1,1,2,0,0,0,0,20,25,42,0,0,0,0,1,0,0,0,6,0,0,0,0,5,0,0,6,6,4,0,2,0,0,2015년 10월,37.53705739999999,127.1419589
38,그림유치원,김창숙,김창숙,2000-11-30,사립(사인),2001-03-01,서울특별시교육청 / 동부교육지원청,02-3394-6254,http://cafe.naver.com/grimkid,09 : 00 ~ 19 : 00,서울특별시 동대문구 답십리로56길 21,['방과후과정'],2,4,3,0,0,0,0,31,60,62,0,0,0,0,1,1,0,1,13,0,0,0,9,2,0,2,12,12,6,2,3,1,2,2014년 10월,37.569807,127.060092
39,그림유치원,장세자,장세자,1988-01-25,사립(사인),2005-02-28,서울특별시교육청 / 강동송파교육지원청,02-403-0687,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 송파구 동남로23나길 6,['방과후과정'],2,3,3,0,0,0,0,48,59,64,0,0,0,0,1,0,0,0,13,0,0,1,0,1,0,4,9,9,7,4,0,0,3,2015년 10월,37.5023337,127.1329827
40,근화유치원,염수정,남대레사,1954-04-05,사립(법인),1954-04-05,서울특별시교육청 / 중부교육지원청,02-2237-1684,http://guenhwa.com,09 : 00 ~ 17 : 20,서울특별시 중구 동호로20길 24,['방과후과정'],1,0,0,0,3,0,0,25,0,0,0,70,0,0,1,0,0,0,7,0,0,0,0,4,0,1,6,6,1,1,3,1,1,2016년 10월,37.5592087,127.009042
41,근화유치원,한근화,이병옥,1986-06-01,사립(사인),1986-06-01,서울특별시교육청 / 강동송파교육지원청,02-481-1144,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 강동구 고덕로 240,['방과후과정'],0,0,1,1,0,0,0,0,0,21,46,0,0,0,1,1,0,0,4,0,0,0,0,3,0,0,4,4,0,3,0,1,0,2016년 10월,37.5538859,127.1520017
42,금란유치원,-,-,1983-12-06,사립(사인),1983-12-06,서울특별시교육청 / 동부교육지원청,02-434-5698,등록된 홈페이지가 없습니다.,-,서울특별시 중랑구 용마산로 478-0(망우동 영명빌딩),[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2013년 11월,37.5917707,127.0945783
43,"금빛유치원
                  
                  	(폐원)",-,-,1986-01-30,사립(사인),1986-01-30,서울특별시교육청 / 성동광진교육지원청,02-457-7740,등록된 홈페이지가 없습니다.,-,서울특별시 광진구 용마산로 107,['방과후과정'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,4,-,-,-,-,-,2011년 07월,37.5631492,127.0867201
44,금성유치원,양혜숙,곽용택,1994-07-23,사립(사인),1994-07-23,서울특별시교육청 / 성북강북교육지원청,02-905-6638,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강북구 한천로123길 9,['방과후과정'],0,0,0,0,0,1,0,0,0,0,0,0,38,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,1,0,0,2016년 09월,37.6361617,127.0315286
45,"금잔디유치원
                  
                  	(폐원)",-,-,1968-02-01,사립(사인),1968-03-04,서울특별시교육청 / 성북강북교육지원청,02-914-6684,등록된 홈페이지가 없습니다.,-,서울특별시 성북구 솔샘로4길 20-4,['방과후과정'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,6,0,0,0,6,6,-,-,-,-,-,2012년 10월,37.6083261,127.0058378
46,금호유치원,손미숙,손미숙,1991-06-12,사립(법인),1991-06-12,서울특별시교육청 / 성동광진교육지원청,02-2252-3179,http://www.keumhokids.co.kr,09 : 00 ~ 19 : 00,서울특별시 성동구 금호산2길 35,['방과후과정'],1,1,1,0,0,0,0,16,12,19,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,3,2,0,1,0,0,2016년 10월,37.5487262,127.0235509
47,기린유치원,이명숙,이명숙,1985-02-28,사립(사인),1985-03-15,서울특별시교육청 / 강동송파교육지원청,02-418-1750,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 송파구 백제고분로41길 20,['방과후과정'],0,0,0,0,0,1,0,0,0,0,0,0,30,0,1,0,0,0,3,0,0,0,0,0,0,0,3,3,1,1,0,0,1,2016년 11월,37.5077265,127.1075695
48,까망유치원,육정희,육정희,1986-02-27,사립(사인),1986-02-27,서울특별시교육청 / 성북강북교육지원청,02-916-9213,https://www.kidsnote.com/까망유치원,09 : 00 ~ 20 : 00,서울특별시 성북구 장월로 102,['방과후과정'],0,0,1,1,0,0,0,0,0,20,16,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,2,2,2,0,0,0,0,2016년 09월,37.6148761,127.0485198
49,까치유치원,최희숙,이상진,1989-02-03,사립(사인),1989-02-03,서울특별시교육청 / 북부교육지원청,02-937-0331,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 노원구 덕릉로79길 23,['방과후과정'],3,2,2,0,0,0,0,60,50,60,0,0,0,0,1,0,0,0,12,0,0,0,5,7,0,1,11,11,4,1,4,2,1,2016년 11월,37.6588489,127.0728153
50,꽃동산유치원,김종준,서인숙,2006-02-14,사립(법인),2006-02-14,서울특별시교육청 / 북부교육지원청,02-948-9483,http://www.flowergardenkids.com,09 : 00 ~ 18 : 00,서울특별시 노원구 공릉로 257,['방과후과정'],1,1,1,0,0,0,0,13,8,7,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,4,2,0,2,0,0,2013년 11월,37.6301266,127.0741844
51,꿀벌유치원,조윤희,조윤희,1998-03-04,사립(사인),2009-10-13,서울특별시교육청 / 강동송파교육지원청,02-3401-1752,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 30,서울특별시 송파구 양산로8길 8,['방과후과정'],1,1,1,0,0,0,0,14,13,14,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,5,3,1,0,0,1,2017년 10월,37.4908734,127.1445037
52,꿀벌유치원,한국천주교살레시오회,이혜경,1980-07-01,사립(법인),1994-06-01,서울특별시교육청 / 남부교육지원청,02-857-8545,http://www.honeybees.or.kr,09 : 30 ~ 19 : 00,서울특별시 구로구 디지털로27다길 15,['방과후과정'],2,2,1,0,0,0,0,30,42,29,0,0,0,0,1,0,0,1,7,0,0,0,0,3,0,1,7,7,1,2,3,2,0,2015년 10월,37.4849354,126.8892781
53,꿈꾸는유치원,임성희,임성희,2016-01-29,사립(사인),2016-03-02,서울특별시교육청 / 성북강북교육지원청,02-981-0101,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강북구 오패산로30길 75,['방과후과정'],2,1,1,0,0,0,0,24,11,9,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,5,5,4,1,0,0,0,2016년 10월,37.616529,127.0350342
54,꿈꾸는유치원,"이영호, 박정숙",신연미,2017-03-06,사립(사인),2017-03-07,서울특별시교육청 / 강서양천교육지원청,02-2604-7890,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 양천구 오목로4길 8,['방과후과정'],2,2,2,0,0,0,0,38,41,49,0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,3,6,6,6,3,0,0,0,-,37.5208687,126.8401505
55,"꿈나라유치원
                  
                  	(폐원)",-,-,1986-03-27,사립(사인),1986-03-27,서울특별시교육청 / 강남서초교육지원청,02-3474-4633,등록된 홈페이지가 없습니다.,-,서울특별시 서초구 서운로 62,['방과후과정'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,2,4,4,-,-,-,-,-,2013년 10월,37.4904344,127.0282059
56,꿈나라유치원,염명순,염명순,2008-06-16,사립(사인),2008-06-16,서울특별시교육청 / 동작관악교육지원청,02-851-5596,등록된 홈페이지가 없습니다.,08 : 30 ~ 17 : 00,서울특별시 관악구 난곡로 42,['방과후과정'],2,2,2,0,0,0,0,39,46,52,0,0,0,0,1,1,0,0,10,0,0,0,4,0,0,0,10,10,4,1,2,2,1,2015년 10월,37.4757204,126.9170692
57,꿈나무유치원,김지연,김지연,2012-03-27,사립(사인),2012-03-27,서울특별시교육청 / 강서양천교육지원청,02-2646-7701,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 양천구 목동서로 280,['방과후과정'],2,3,2,0,0,0,0,48,72,57,0,0,0,0,1,1,0,0,15,0,0,0,0,10,0,3,12,12,7,4,2,2,0,2016년 11월,37.5216609,126.8676528
58,꿈동산유치원,고백희,김현미,1988-04-13,사립(사인),1988-05-02,서울특별시교육청 / 성북강북교육지원청,02-986-0577,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강북구 한천로115길 15,['방과후과정'],1,2,2,0,0,0,0,12,29,34,0,0,0,0,1,0,0,0,8,0,0,0,1,0,0,2,6,6,1,0,4,2,1,2016년 10월,37.6321131,127.0383199
59,꿈동산유치원,"이상민, 이우원",이인숙,1991-03-30,사립(사인),1991-03-30,서울특별시교육청 / 북부교육지원청,02-933-4686,http://www.kiddream.woobi.co.kr,09 : 10 ~ 19 : 10,서울특별시 노원구 동일로227길 26,['방과후과정'],4,3,3,0,0,0,0,95,79,72,0,0,0,0,1,1,0,0,16,0,0,0,0,19,0,2,14,14,3,1,6,3,3,2014년 6월,37.6686255,127.0533712
60,꿈모리유치원,김광세,윤미리,1983-03-29,사립(사인),1983-03-29,서울특별시교육청 / 북부교육지원청,02-978-0806,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 노원구 공릉로58길 23,"['방과후과정', '아침돌봄']",1,0,0,0,1,0,0,8,0,0,0,21,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,2,1,0,0,1,1,2016년 10월,37.6337152,127.072437
61,꿈밭유치원,양혜숙,원주연,1991-03-01,사립(사인),1993-08-01,서울특별시교육청 / 북부교육지원청,02-956-9380,https://kkumbat.happyihome.com,09 : 00 ~ 17 : 00,서울특별시 도봉구 해등로 264,"['방과후과정', '온종일돌봄']",2,2,2,0,0,0,0,34,40,36,0,0,0,0,1,1,0,0,11,0,0,0,0,0,0,2,9,9,5,3,2,1,0,2016년 09월,37.6575265,127.0260117
62,꿈밭유치원,이용진,최소영,1988-09-05,사립(사인),1989-03-02,서울특별시교육청 / 강동송파교육지원청,02-413-4788,등록된 홈페이지가 없습니다.,09 : 30 ~ 14 : 00,서울특별시 송파구 올림픽로4길 32,['해당없음'],1,1,1,0,0,0,0,13,20,20,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,2015년 10월,37.5078319,127.0742039
